;- HEATHROW HOLDING POINTS
N051.27.56.455:W000.26.01.005:EGLL Old SMR Labels:N1
N051.27.56.299:W000.26.13.982:EGLL Old SMR Labels:N2E
N051.27.56.290:W000.26.21.228:EGLL Old SMR Labels:N2W
N051.27.56.303:W000.26.28.139:EGLL Old SMR Labels:N3
N051.27.56.739:W000.26.44.458:EGLL Old SMR Labels:N4E
N051.27.57.045:W000.27.02.109:EGLL Old SMR Labels:N4W
N051.27.56.603:W000.27.37.186:EGLL Old SMR Labels:N5W
N051.27.56.938:W000.27.20.815:EGLL Old SMR Labels:N5E
N051.27.57.293:W000.28.09.556:EGLL Old SMR Labels:N6
N051.27.57.214:W000.28.27.181:EGLL Old SMR Labels:N7
N051.27.56.803:W000.28.53.754:EGLL Old SMR Labels:N8
N051.27.56.664:W000.29.02.714:EGLL Old SMR Labels:N10
N051.27.56.488:W000.29.13.064:EGLL Old SMR Labels:N11
N051.28.05.185:W000.28.42.878:EGLL Old SMR Labels:C1
N051.28.05.360:W000.28.25.259:EGLL Old SMR Labels:D1
N051.28.04.177:W000.28.04.300:EGLL Old SMR Labels:E1
N051.28.04.133:W000.27.55.018:EGLL Old SMR Labels:F1
N051.28.07.191:W000.26.39.135:EGLL Old SMR Labels:L1
N051.28.00.956:W000.26.16.095:EGLL Old SMR Labels: AW2
N051.28.01.642:W000.26.07.465:EGLL Old SMR Labels: AE2
N051.27.58.324:W000.26.30.500:EGLL Old SMR Labels: LOMAN
N051.28.02.065:W000.26.25.178:EGLL Old SMR Labels:LOKKI
N051.28.08.383:W000.26.24.795:EGLL Old SMR Labels:ETTIV
N051.28.12.069:W000.26.18.587:EGLL Old SMR Labels:NEVIS
N051.28.12.920:W000.26.04.571:EGLL Old SMR Labels:MORRA
N051.27.58.324:W000.26.40.564:EGLL Old SMR Labels:NY4
N051.27.47.594:W000.29.10.451:EGLL Old SMR Labels:S11
N051.27.48.842:W000.28.23.056:EGLL Old SMR Labels:S7
N051.27.50.057:W000.28.31.799:EGLL Old SMR Labels:SB7
N051.27.48.860:W000.28.07.746:EGLL Old SMR Labels:SY6
N051.27.48.754:W000.28.00.780:EGLL Old SMR Labels:S6
N051.27.49.058:W000.27.19.971:EGLL Old SMR Labels:S5
N051.27.48.738:W000.27.06.495:EGLL Old SMR Labels:S4
N051.27.48.629:W000.26.26.741:EGLL Old SMR Labels:S3
N051.27.47.042:W000.26.13.797:EGLL Old SMR Labels:S1N
N051.27.41.724:W000.26.10.807:EGLL Old SMR Labels:S1S
N051.27.45.923:W000.26.05.060:EGLL Old SMR Labels:SB1
N051.28.34.499:W000.29.22.173:EGLL Old SMR Labels:A13
N051.28.34.399:W000.28.50.486:EGLL Old SMR Labels:A12
N051.28.34.251:W000.28.28.467:EGLL Old SMR Labels:A11
N051.28.34.823:W000.28.9.786:EGLL Old SMR Labels:A10W
N051.28.35.320:W000.28.4.077:EGLL Old SMR Labels:A10E
N051.28.31.590:W000.28.03.276:EGLL Old SMR Labels:AY10
N051.28.34.369:W000.27.28.783:EGLL Old SMR Labels:A9E
N051.28.34.724:W000.27.45.521:EGLL Old SMR Labels:A9W
N051.28.34.821:W000.27.19.477:EGLL Old SMR Labels:A8
N051.28.34.890:W000.27.08.977:EGLL Old SMR Labels:A7
N051.28.35.042:W000.26.55.315:EGLL Old SMR Labels:A6
N051.28.03.727:W000.28.51.084:EGLL Old SMR Labels:OSTER
N051.28.00.603:W000.28.51.034:EGLL Old SMR Labels:HORKA
N051.28.31.879:W000.26.36.124:EGLL Old SMR Labels:AY5
N051.28.26.524:W000.28.42.923:EGLL Old SMR Labels:C2
N051.28.26.505:W000.28.24.478:EGLL Old SMR Labels:D2
N051.28.27.900:W000.28.05.968:EGLL Old SMR Labels:E2
