;- HEATHROW HOLDING POINTS
"N1" N051.27.56.455 W000.26.01.005 standHold
"N2E" N051.27.56.299 W000.26.13.982 standHold
"N2W" N051.27.56.290 W000.26.21.228 standHold
"N3" N051.27.56.303 W000.26.28.139 standHold
"N4E" N051.27.56.739 W000.26.44.458 standHold
"N4W" N051.27.57.045 W000.27.02.109 standHold
"N5W" N051.27.56.603 W000.27.37.186 standHold
"N5E" N051.27.56.938 W000.27.20.815 standHold
"N6" N051.27.57.293 W000.28.09.556 standHold
"N7" N051.27.57.214 W000.28.27.181 standHold
"N8" N051.27.56.803 W000.28.53.754 standHold
"N10" N051.27.56.664 W000.29.02.714 standHold
"N11" N051.27.56.488 W000.29.13.064 standHold
"C1" N051.28.05.185 W000.28.42.878 standHold
"D1" N051.28.05.360 W000.28.25.259 standHold
"E1" N051.28.04.177 W000.28.04.300 standHold
"F1" N051.28.04.133 W000.27.55.018 standHold
"L1" N051.28.07.191 W000.26.39.135 standHold
"AW2" N051.28.00.956 W000.26.16.095 standHold
"AE2" N051.28.01.642 W000.26.07.465 standHold
"LOMAN" N051.27.58.324 W000.26.30.500 standHold
"LOKKI" N051.28.02.065 W000.26.25.178 standHold
"ETTIV" N051.28.08.383 W000.26.24.795 standHold
"NEVIS" N051.28.12.069 W000.26.18.587 standHold
"MORRA" N051.28.12.920 W000.26.04.571 standHold
"NY4" N051.27.58.324 W000.26.40.564 standHold
"S11" N051.27.47.594 W000.29.10.451 standHold
"S7" N051.27.48.842 W000.28.23.056 standHold
"SB7" N051.27.50.057 W000.28.31.799 standHold
"SY6" N051.27.48.860 W000.28.07.746 standHold
"S6" N051.27.48.754 W000.28.00.780 standHold
"S5" N051.27.49.058 W000.27.19.971 standHold
"S4" N051.27.48.738 W000.27.06.495 standHold
"S3" N051.27.48.629 W000.26.26.741 standHold
"S1N" N051.27.47.042 W000.26.13.797 standHold
"S1S" N051.27.41.724 W000.26.10.807 standHold
"SB1" N051.27.45.923 W000.26.05.060 standHold
"A13" N051.28.34.499 W000.29.22.173 standHold
"A12" N051.28.34.399 W000.28.50.486 standHold
"A11" N051.28.34.251 W000.28.28.467 standHold
"A10W" N051.28.34.823 W000.28.9.786 standHold
"A10E" N051.28.35.320 W000.28.4.077 standHold
"AY10" N051.28.31.590 W000.28.03.276 standHold
"A9E" N051.28.34.369 W000.27.28.783 standHold
"A9W" N051.28.34.724 W000.27.45.521 standHold
"A8" N051.28.34.821 W000.27.19.477 standHold
"A7" N051.28.34.890 W000.27.08.977 standHold
"A6" N051.28.35.042 W000.26.55.315 standHold
"OSTER" N051.28.03.727 W000.28.51.084 standHold
"HORKA" N051.28.00.603 W000.28.51.034 standHold
"AY5" N051.28.31.879 W000.26.36.124 standHold
"C2" N051.28.26.524 W000.28.42.923 standHold
"D2" N051.28.26.505 W000.28.24.478 standHold
"E2" N051.28.27.900 W000.28.05.968 standHold
"F2" N051.28.26.311 W000.28.05.051 standHold
"L2" N051.28.28.492 W000.26.22.549 standHold
"A5" N051.28.35.161 W000.26.30.199 standHold
"A4" N051.28.35.616 W000.26.12.919 standHold
"A2" N051.28.34.626 W000.26.00.718 standHold
"A3" N051.28.35.773 W000.26.06.944 standHold
"AY1" N051.28.32.680 W000.25.50.394 standHold
"AY4" N051.28.31.787 W000.26.12.821 standHold
"M1" N051.28.31.219 W000.25.44.632 standHold
"A1" N051.28.36.767 W000.25.56.010 standHold
"AY3" N051.28.30.303 W000.26.11.750 standHold
"TITAN" N051.28.26.370 W000.26.12.000 standHold
"PLUTO" N051.28.34.938 W000.26.19.506 standHold
"SATUN" N051.28.20.324 W000.26.11.920 standHold
"SNAPA" N051.28.34.003 W000.28.57.505 standHold
"RABIT" N051.28.30.817 W000.28.55.995 standHold
"DINGO" N051.28.27.697 W000.28.55.783 standHold
"COBRA" N051.28.28.032 W000.29.09.881 standHold
"VIKAS" N051.28.05.040 W000.28.58.615 standHold
"DASSO" N051.28.03.762 W000.29.08.882 standHold
"HANLI" N051.28.03.603 W000.29.18.740 standHold
;Heathrow Stands
"101" N051.28.27.780 W000.27.08.000 standHold
"102" N051.28.24.750 W000.26.59.140 standHold
"103" N051.28.28.670 W000.27.05.320 standHold
